Site;Species;Treat;Block;Plot;Year;Date;Registrator;IDS;MS;IDG;X;Y;SH;NL;NL_partitioned;LL;WL;NFL;NFL1;NFL2;NFL3;NB;NB1;NB2;NB3;NC;NC1;NC2;NAC;NFS;Length of aks;Length of aks (partitioned);seedl;juvinale;comment
Låv;Hyp_mac;Novel;1;1;2018;14.09.2018;RG/BM;1;;;5,0;19,0;111;32;;16;11;;;;;;;;;;;;;;;;;;
Låv;Hyp_mac;Novel;1;1;2018;14.09.2018;RG/BM;2;;;3,5;6,5;200;44;;15;8;1;;;;;;;;;;;;;;;;;
Låv;Hyp_mac;Novel;1;1;2018;14.09.2018;RG/BM;3;;;4,0;7,5;192;22;;17;9;2;;;;;;;;;;;;;;;;;
Låv;Hyp_mac;Novel;1;1;2018;14.09.2018;RG/BM;4;;;6,0;6,5;188;31;;18;11;;;;;1;;;;;;;;;;;;;
Låv;Car_pal;Novel;1;1;2018;14.09.2018;RG/BM;1;;;15,5;17,5;;7;;108;;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;1;1;2018;14.09.2018;RG/BM;2;;;15,5;16,0;;2;;30;;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;1;1;2018;14.09.2018;RG/BM;3;;;17,0;18,0;;11;;113;;;;;;;;;;;;;;;17;;;;
Låv;Car_pal;Novel;1;1;2018;14.09.2018;RG/BM;4;;;16,5;16,5;;6;;150;;;;;;;;;;;;;;;1,7;;;;
Låv;Car_pal;Novel;1;1;2018;14.09.2018;RG/BM;5;;;16,0;6,5;;2;;104;;;;;;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;1;1;2018;14.09.2018;RG/BM;1;;;27,0;17,5;;17;11+6;110;32;14;;;;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;1;1;2018;14.09.2018;RG/BM;2;;;26,5;7,5;;15;10+5;148;33;;;;;10;;;;;;;;;;;;;
Låv;Car_pal;Novel;1;6;2018;14.09.2018;RG/BM;1;;;8,5;17,5;;2;;120;;;;;;;;;;;;;;;22;;;;
Låv;Car_pal;Novel;1;6;2018;14.09.2018;RG/BM;2;;;9,0;16,0;;4;;130;;;;;;;;;;;;;;;26;;;;
Låv;Car_pal;Novel;1;6;2018;14.09.2018;RG/BM;3;;;10,0;17,5;;4;;121;;;;;;;;;;;;;;;;;;;2 shoots
